playerID,careerPassYards,careerPassTDs,careerINTs,careerPasserRating,careerCompPct,careerSacks,careerGamesStarted,careerQBRushYards,seasonHighPassYards,seasonHighPassTDs,careerRushYards,careerRushTDs,careerYPC,careerRushAttempts,careerFumbles,seasonHighRushYards,careerRecYards,careerReceptions,careerRecTDs,careerYPR,seasonHighRecYards,seasonHighReceptions,careerTargets,careerTotalTDs,seasonHighRecTDs,seasonHighRushTDs,seasons
00-0019109,0,0,0,0.0,0,0,17,0,0,0,32,0,6.4,5,0,27,160,16,1,10.0,99,11,29,1,1,0,3
00-0019127,0,0,0,0.0,0,0,40,0,0,0,0,0,0,0,0,0,460,48,8,9.6,157,14,57,8,3,0,9
00-0019134,0,0,0,0.0,0,0,10,0,0,0,6,1,2.0,3,1,6,71,11,0,6.5,71,11,11,1,0,1,1
00-0019135,0,0,0,0.0,0,0,65,0,0,0,144,2,4.5,32,1,29,491,64,2,7.7,122,18,78,4,1,1,10
00-0019153,0,0,0,0.0,0,0,1,0,0,0,2,0,2.0,1,0,2,0,0,0,0,0,0,0,0,0,0,1
00-0019164,0,0,0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,25,3,0,8.3,25,3,8,0,0,0,1
00-0019172,0,0,0,0.0,0,0,35,0,0,0,10,0,2.5,4,0,5,384,52,2,7.4,129,15,58,2,2,0,5
00-0019192,361,1,3,59.9,0.558,2,4,15,201,1,15,0,7.5,2,0,10,0,0,0,0,0,0,0,0,0,0,3
00-0019206,0,0,0,0.0,0,0,5,0,0,0,0,0,0,0,0,0,12,2,0,6.0,12,2,11,0,0,0,1
00-0019207,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
00-0019231,0,0,0,0.0,0,0,35,0,0,0,37,0,9.25,4,2,31,617,54,1,11.4,283,22,104,1,1,0,4
00-0019238,0,0,0,0.0,0,0,1,0,0,0,6,0,6.0,1,0,6,0,0,0,0,0,0,0,0,0,0,1
00-0019242,28,0,0,93.8,0.75,1,48,0,17,0,13,0,13.0,1,3,13,1203,111,5,10.8,495,47,111,5,3,0,6
